"age","employment_mean","sleep_mean","work_mean","tv_mean","edu_mean","household_mean","relax_mean","carehh_mean","eat_mean","travel_mean","personalcare_mean","sport_mean","buy_mean","religion_mean","telephone_mean","carenhh_mean","volunteer_mean"
58,1.0,551.4818125875156,1.8309929470727413,205.59890589305914,2.3302209892855856,181.61271468810895,345.84228289440097,4.292577367032652,74.31433680623785,87.59330224013999,45.08030098225327,21.322413225704846,38.96348587376348,25.458080468891836,3.6365094681104333,17.198614733041918,11.75237042164007
59,1.0,546.5844578290656,1.8037649343530167,213.38757769912147,2.8461486043791036,175.0253305478532,341.0235333991739,4.954122887876813,75.45612106314154,81.95494417571655,45.83499541606226,22.777460501368353,46.270496205555474,15.0107858472991,5.317336404337081,25.697756050904758,13.046736267055437
60,1.0,529.4521473900335,1.5798954049868843,194.21195465258938,2.788950759225964,181.30442534384437,338.8630571617932,9.865392844743173,77.18717043285162,98.52170516885053,44.260484471359725,27.95643211986003,42.66214610184168,18.127211361806864,7.059293823920176,23.595645217254788,11.140241520910317
61,1.0000000000000002,541.4172878200588,1.3104644359694677,239.22089897450726,1.234514143158332,174.89048023006146,378.8269428404062,6.550257626527307,78.76357249536848,78.0688952608127,45.07923922594191,13.76565326899914,44.31511278156036,12.226568806660465,5.57089601824416,20.337698146041113,11.884192664095046
62,1.0,540.3014730499632,2.753330391645572,210.3181730376739,0.5105627389256696,193.5750987651677,351.37573739678595,1.8081792417465141,78.97582888067744,82.84828536059673,40.997671873187905,16.88922022479604,42.32442158411436,18.875462804037532,6.484638730897969,20.52247308525124,17.18031948087369
63,1.0,552.0003612041642,2.2380868073127247,236.4589249816652,0.6545925682819235,180.01703749292474,369.22949392018126,1.7919083874516457,80.8938381196499,89.73075505278943,42.13981558856739,15.593534324176069,28.258223766451074,19.44989954346332,3.0062677335447834,15.898915148560606,14.166245855665544
64,1.0,526.4176833029765,4.235353332337245,218.22346160812194,0.505692168548233,200.75265849721302,337.1698830748289,6.670379352905054,79.62990639553345,82.69696098861957,51.0301769203337,11.124822196920517,47.338490710758975,14.441344191771432,7.249436891083735,10.801324234763083,21.757922373150855
65,1.0000000000000002,531.502903304224,3.4095999458861574,226.24684501996146,0.1627507772020157,172.4520537848929,378.4259600633358,3.165039290153809,77.22272578050182,80.87757948391031,59.16896926671032,16.148237638737815,35.15678794235545,10.055009247677042,4.760208531129319,26.82117005128093,14.98800840972076
66,1.0,544.3236418994088,1.3112999711379132,216.9291324649211,0.0,180.4304001207706,356.36957344166825,6.083043225179006,89.8350686458936,74.91137764948006,50.286145866436875,13.46569872155121,53.06124818894518,16.695698568808282,4.631877242559923,15.915249833341157,10.642298835423004
67,1.0,549.3724012512648,2.0565107490663705,227.2915483709198,0.27160165460415786,182.526840009089,372.3542356543631,2.287404883874288,76.94826723850866,90.4855469725547,41.28116681796918,29.79535824312382,37.17763134242776,12.853726110998338,7.408787268611933,13.17324674285651,2.6093761082689344
