"age","employment_mean","sleep_mean","work_mean","tv_mean","edu_mean","household_mean","relax_mean","carehh_mean","eat_mean","travel_mean","personalcare_mean","sport_mean","buy_mean","religion_mean","telephone_mean","carenhh_mean","volunteer_mean"
15,1.0,390.7291181224301,525.3149659154749,90.58219534658814,0.0,64.39668282340166,180.9314712184332,23.755573560395323,46.00395593506994,80.52471627621182,54.93574878188186,0.0,5.136581342599038,10.723585418801692,40.31792995313624,0.1714034512773985,17.058267200886828
16,1.0,504.26633509393616,409.07011883061045,91.64017643861791,41.16159007226384,33.54021951371817,189.92627153393414,2.9405557487015446,48.97887263237554,76.42262438370308,45.99058746103054,51.70659552955374,9.192475490699044,2.268545205363445,9.107997569569983,1.6777470527220442,2.0072170408099352
17,1.0,505.2728521174631,435.1552975901239,87.0982474781122,60.55996217909528,35.605398223055126,156.43148428381326,2.57094611177261,51.53236714193679,74.23950138479542,42.34639010091761,24.486202083562592,12.915800786340697,2.434855834042458,10.845918880956257,1.723520884794564,4.9908266746679235
18,1.0,510.50872367827577,440.9051900578361,93.25641517795776,48.5594194915738,25.941674078621485,172.81747235176167,5.821288752696613,46.61703717031329,66.45701438370294,54.778090963541814,17.322426787466785,12.08537951289577,0.6161149068060982,4.358658188437025,4.571973518449277,6.093765073461804
19,1.0,474.9432913559806,477.56695856932805,115.74248940862594,13.11217152559757,26.54787816129779,195.03573376783552,6.074227783533792,49.354876836776306,76.26676037796045,49.34869317602926,27.46233535441451,15.558016110116958,1.4377697171196675,8.886649595200861,4.622988328931644,1.9129055003280289
20,1.0,473.6488449003017,494.4086186352456,90.59080757076765,18.985804488044238,30.55193235704422,167.57298112753986,8.209839037513012,53.79671354530499,85.24089932675946,45.279303952460026,23.461078307847302,12.726959362382585,1.7261134166258216,9.292435416929665,3.8723687236699207,0.5083837901418333
21,1.0,473.28661362600593,490.266537326745,101.61285092191851,12.257382611487856,29.994050640714594,190.98808171949906,8.392290675837096,52.00247072834146,82.38417709866368,48.065026520167976,16.0526351240515,9.632188981079361,2.11731808246646,3.262280099957283,4.146202491624725,0.9244317002789725
22,1.0,485.2279558257149,487.7719483068466,101.18730277999022,13.0444108882504,31.361988430437584,167.36291073566204,10.620509676973853,61.54317362982247,82.32194860077522,50.285895261746454,15.268879682006324,11.630042402373366,1.5759667006373,5.280303760592833,3.0446855520197533,1.8973004371714761
23,1.0,484.6739862618896,506.32029042446396,87.43864754327156,9.560376384259076,32.269574446873335,151.72016881729942,12.63216765139558,61.194505969728,77.29962756764229,50.649712741961245,16.374646292560943,12.013659764114829,1.828200487385797,3.627959219678532,4.574986861613566,3.130908194114175
24,1.0,482.7035405507807,487.27764154000664,105.80899849475949,5.489981184851025,38.87000613431629,174.2355547013887,13.964036997553153,64.37024668150359,75.00505664859881,45.90126981520742,16.286719736527413,11.396455529794727,1.4868486775432257,4.494984900460279,2.907000174933547,5.220395809056761
25,1.0,475.0748144777224,500.4744136393282,97.19841560842168,4.601882264980248,43.54375324416844,155.27451189932177,15.127700811859699,60.5762861329922,83.68399754679747,50.51128758562497,16.519782470674084,11.891470513409542,1.2661919910095132,3.3034266418791867,2.936367107496158,4.2061496770077005
26,1.0,470.82433550532596,497.56718833579515,95.90631053627527,9.414139506431058,47.92641626032733,152.52758932415023,19.353705660071565,62.50239929075335,80.857991010875,50.12775992474581,12.984716386798898,11.539732130146321,1.9163602129533175,4.538342798769423,3.6683625353737326,1.857474656626881
27,1.0,472.42815657997687,502.6723223821816,98.54744098435658,7.331313386797773,43.777792532795665,153.4776055207605,20.852244136510265,61.08715428655045,79.39451042444091,46.75984378440382,15.024119360712447,11.148123856024691,3.6152306832734364,3.8431736309345106,4.322660303900833,3.0602855019262996
28,1.0,474.2888100698527,507.88111458630027,98.45914054142767,7.596027880202499,44.313955144597536,155.9309660339423,22.998289030840787,58.00169198192099,78.17320469928683,43.877193356601275,10.355863296071682,12.121177244385413,1.7615544769319174,2.6017912634231473,2.2900035606049496,2.724963028617154
29,1.0,463.0076465729543,509.79258532090483,101.97929153331562,6.515614235975275,43.28473416436362,154.44324331641732,28.748081665648787,64.96261077251751,78.47174191404895,42.891025055756025,13.224611282911988,11.310893886181875,2.1515870418508953,3.6942594487840426,2.254244636189548,2.4978482599688334
30,1.0,467.4989721835969,494.96997646603944,104.70968712975844,6.83090869704646,45.438533655330914,157.65278155397235,31.26439565655965,63.12562815200937,76.68928207548778,46.27629192473613,14.502488413788287,12.365637338150533,1.5661406330370933,3.0181056934171218,2.3930891554894975,2.824448150033388
31,1.0,466.4305324792435,494.70059071933173,99.38834930173546,5.500386235020635,51.5160182129309,148.47712658589458,36.8807355835337,61.20903331964495,82.65014268120683,44.04485042774614,11.418897413779648,11.408180662501026,3.2032539520601193,3.1265481934567263,2.810190618553972,3.053903416266631
32,1.0,461.75614176378525,498.80948931440884,95.36079316200917,5.3883477677110605,49.6624361088853,149.8747040512854,40.78529656613085,61.50650730408792,77.22728829129142,46.5694287979631,12.835164872620231,11.123800691022302,2.4015643579026014,3.018023309376855,3.030839409186524,3.332373485656792
33,1.0,459.5094961389054,508.72663754269627,91.79081707700348,5.872304147365941,49.33845348558617,134.8592182741041,42.449690186847235,62.52630824245287,82.88915869584022,44.45001088244939,15.584927498587371,12.841603786106456,2.802800016336853,2.3524021020910446,1.9533459246392246,2.5006304515276936
34,1.0,455.60768313914735,503.96309632750325,99.70535762672908,5.0190890528472485,49.91808057163371,147.53676822234172,41.69104083324565,60.49541936707965,82.32908703180429,42.91016771294454,11.864394616149546,14.359282698854594,2.3965008665790735,2.6952398671590667,1.6714372420470949,5.831678518034048
35,1.0000000000000002,460.0681860240672,506.04034022729286,95.40523358343054,4.039637382235166,51.84409818368375,144.95963975905715,42.78858778534771,59.268041807077665,81.69548211363208,43.56030677708549,10.96202340590934,11.554867669488644,1.899015024577425,2.7641385857868905,3.4906004822104477,3.0741027037042534
36,1.0,450.8619835717546,502.31731847269674,92.27948349481439,2.7483151603023286,52.65564863038985,142.99554881993888,43.50283067384244,60.969172957033,82.56801058432848,46.58605653806047,12.19675362477181,13.654533140903014,3.303605549245209,3.355689960249763,2.8606123106120056,3.6926414329595945
37,1.0000000000000002,462.31518216166177,504.5085345621388,98.97541804834117,1.7189089840676004,51.59631318486398,146.92665826872113,36.69266449657563,61.08130780033417,80.27998314518206,44.191320660784505,12.497578934927745,13.133974912987279,3.2204418779996247,3.3067405752638703,2.4737106154248307,4.76750452800824
38,0.9999999999999998,457.71100276076083,506.2200318753552,96.69564710234138,2.949635322600908,53.98545270994368,143.7489018728854,38.20918356723808,63.16141668205945,81.06016334690278,43.51866995170862,13.678183409284957,11.965937795188506,2.5740765907902756,2.3875987395536207,1.779711486410808,5.254469370599713
39,1.0,453.4538753656929,499.2655893456806,105.38701444739299,3.1982208185474796,55.0390648569215,153.14210431039953,36.482275723750014,59.724349226278335,82.55377354898206,44.06031712474355,12.464825966498564,12.901134790759642,2.661442748406682,2.8612766021095353,2.4441541399628846,4.52317839229178
40,1.0000000000000004,460.4687551994634,500.6407186936253,95.36086009188621,3.3781740593510676,56.03726385303324,144.39202129325926,31.585782230098445,61.59772390130603,83.7040771197866,46.211015732135394,12.121008355017064,12.295948362087467,2.875677839862951,3.211075356400345,2.412943278835798,4.796970799312878
41,1.0,454.8398609937475,498.9534999582991,98.67882387877613,2.143176205541335,59.12037642671347,150.2614229326721,32.478477703153935,62.06675327723141,82.72492398839913,45.16025384241193,12.63305837659856,11.259785328112786,3.2703717311112643,3.206042827891194,2.8692801468982214,6.322928878637999
